,DateTime,RealPower,Fecha,vacaciones,clases_verano,Min Temp (C),Max Temp (C),Avg Temp (C),Sunrise,Sunset,suma_final
160,2019-12-30 07:45:00,38.658,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
161,2019-12-30 07:30:00,38.345,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
162,2019-12-30 07:15:00,38.54,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
163,2019-12-30 07:00:00,38.506,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
164,2019-12-30 06:45:00,38.352,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
165,2019-12-30 06:30:00,38.158,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
166,2019-12-30 06:15:00,38.206,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
167,2019-12-30 06:00:00,38.271,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
168,2019-12-30 05:45:00,38.17,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
169,2019-12-30 05:30:00,38.197,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
170,2019-12-30 05:15:00,38.366,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
171,2019-12-30 05:00:00,38.347,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
172,2019-12-30 04:45:00,38.185,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
173,2019-12-30 04:30:00,38.236,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
174,2019-12-30 04:15:00,38.339,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
